"","video_id","publishedAt","channelId","title","description","thumbnails.default.url","thumbnails.default.width","thumbnails.default.height","thumbnails.medium.url","thumbnails.medium.width","thumbnails.medium.height","thumbnails.high.url","thumbnails.high.width","thumbnails.high.height","channelTitle","liveBroadcastContent"
"1","AxkeI6kCH6Y","2016-10-05T14:32:44.000Z","UCJmSX7ghommK3pwMLGNUvPA","Six Year Old Fatally Shot At School Gets Superhero Funeral","Jacob Hall, the 6-year-old boy who died after a teen gunman opened fire at a South Carolina elementary school will be remembered Wednesday as a superhero. Hall's family has encouraged people...","https://i.ytimg.com/vi/AxkeI6kCH6Y/default.jpg","120","90","https://i.ytimg.com/vi/AxkeI6kCH6Y/mqdefault.jpg","320","180","https://i.ytimg.com/vi/AxkeI6kCH6Y/hqdefault.jpg","480","360","Wochit News","none"
"2","Dy_98bXbajQ","2016-09-28T22:47:25.000Z","UCJmSX7ghommK3pwMLGNUvPA","Gunman Killed Dad Before South Carolina School Shooting","According to authorities, a teenager killed his father at his home on Wednesday before going to a nearby elementary school and opening fire with a handgun, wounding two students and a teacher....","https://i.ytimg.com/vi/Dy_98bXbajQ/default.jpg","120","90","https://i.ytimg.com/vi/Dy_98bXbajQ/mqdefault.jpg","320","180","https://i.ytimg.com/vi/Dy_98bXbajQ/hqdefault.jpg","480","360","Wochit News","none"
"3","HJN8zs5rjZ8","2016-09-28T21:07:28.000Z","UCJmSX7ghommK3pwMLGNUvPA","2 Students And One Teacher Wounded In SC School Shooting","A teenager opened fire at a South Carolina elementary school Wednesday, wounding two students and a teacher before the suspect was taken into custody, authorities said. Anderson County Coroner...","https://i.ytimg.com/vi/HJN8zs5rjZ8/default.jpg","120","90","https://i.ytimg.com/vi/HJN8zs5rjZ8/mqdefault.jpg","320","180","https://i.ytimg.com/vi/HJN8zs5rjZ8/hqdefault.jpg","480","360","Wochit News","none"
"4","AXTaj4OvvgY","2016-09-30T22:07:39.000Z","UCJmSX7ghommK3pwMLGNUvPA","14-Year-Old Charged In South Carolina School Shooting","A 14-year-old boy has been charged as a juvenile for murder and three counts of attempted murder in South Carolina. Authorities say the boy murdered his father and then opened fire at an elementary...","https://i.ytimg.com/vi/AXTaj4OvvgY/default.jpg","120","90","https://i.ytimg.com/vi/AXTaj4OvvgY/mqdefault.jpg","320","180","https://i.ytimg.com/vi/AXTaj4OvvgY/hqdefault.jpg","480","360","Wochit News","none"
"5","AFUR_Ah5hoY","2016-09-29T19:34:18.000Z","UCJmSX7ghommK3pwMLGNUvPA","Volunteer Firefighter Tackles and Subdues School Shooter","Authorities in South Carolina said a volunteer firefighter subdued a school shooter, holding him to the ground until police arrived to arrest him. Townville Fire Chief Billy McAdams added that...","https://i.ytimg.com/vi/AFUR_Ah5hoY/default.jpg","120","90","https://i.ytimg.com/vi/AFUR_Ah5hoY/mqdefault.jpg","320","180","https://i.ytimg.com/vi/AFUR_Ah5hoY/hqdefault.jpg","480","360","Wochit News","none"
"6","ndx3TjqYsds","2016-09-28T21:04:56.000Z","UCJmSX7ghommK3pwMLGNUvPA","Elementary School Shooting Has Left 3 Wounded","TOWNVILLE, S.C. (AP) — The Latest on the shooting at an elementary school in South Carolina that left two students and a teacher wounded (all times local): 3:15 p.m. A coroner says that the...","https://i.ytimg.com/vi/ndx3TjqYsds/default.jpg","120","90","https://i.ytimg.com/vi/ndx3TjqYsds/mqdefault.jpg","320","180","https://i.ytimg.com/vi/ndx3TjqYsds/hqdefault.jpg","480","360","Wochit News","none"
"7","k3GVliYRVLk","2016-09-29T03:05:39.000Z","UCJmSX7ghommK3pwMLGNUvPA","The Latest: Grandparents of school shooter found father dead","The Associated Press is reporting the grandparents of the teenager accused of a school shooting in South Carolina, contacted authorities to let them know they had found their son dead after...","https://i.ytimg.com/vi/k3GVliYRVLk/default.jpg","120","90","https://i.ytimg.com/vi/k3GVliYRVLk/mqdefault.jpg","320","180","https://i.ytimg.com/vi/k3GVliYRVLk/hqdefault.jpg","480","360","Wochit News","none"
"8","dNLyWy0IPbE","2016-10-03T12:59:34.000Z","UCJmSX7ghommK3pwMLGNUvPA","6-Year-Old Shot At South Carolina School Will Have Superhero Funeral","According to family members, the funeral for the 6-year-old boy shot at a South Carolina elementary school will be on Wednesday. This comes a week after Jacob Hall was shot as a first-grade...","https://i.ytimg.com/vi/dNLyWy0IPbE/default.jpg","120","90","https://i.ytimg.com/vi/dNLyWy0IPbE/mqdefault.jpg","320","180","https://i.ytimg.com/vi/dNLyWy0IPbE/hqdefault.jpg","480","360","Wochit News","none"
"9","SMTQNGxjPyw","2016-09-30T16:15:22.000Z","UCJmSX7ghommK3pwMLGNUvPA","Teen Suspect Held In South Carolina School Shooting","Sources report a judge will decide whether authorities may continue holding the teenager arrested in relation to a school shooting this week. The incident left two students and a teacher wounded...","https://i.ytimg.com/vi/SMTQNGxjPyw/default.jpg","120","90","https://i.ytimg.com/vi/SMTQNGxjPyw/mqdefault.jpg","320","180","https://i.ytimg.com/vi/SMTQNGxjPyw/hqdefault.jpg","480","360","Wochit News","none"
"10","8Xry4o8vLzY","2016-09-29T02:29:46.000Z","UCJmSX7ghommK3pwMLGNUvPA","Teenager Killed Father Before School Shooting","Authorities said that before going to a nearby elementary school and opening fire with a handgun, wounding two students and a teacher, a teenager killed his father at their home Wednesday....","https://i.ytimg.com/vi/8Xry4o8vLzY/default.jpg","120","90","https://i.ytimg.com/vi/8Xry4o8vLzY/mqdefault.jpg","320","180","https://i.ytimg.com/vi/8Xry4o8vLzY/hqdefault.jpg","480","360","Wochit News","none"
